3,1,1349.50,422.68,165.71,368.80,1,-1,-1,-1
3,2,588.88,445.81,83.01,262.13,1,-1,-1,-1
3,3,1424.64,429.92,181.35,339.03,1,-1,-1,-1
4,1,1351.27,420.54,167.21,371.83,1,-1,-1,-1
4,2,589.09,446.01,83.09,262.23,1,-1,-1,-1
4,3,1428.01,425.84,183.91,344.93,1,-1,-1,-1
5,1,1353.24,417.46,169.93,377.84,1,-1,-1,-1
5,2,588.81,446.98,83.11,261.99,1,-1,-1,-1
5,3,1430.66,422.37,185.47,350.29,1,-1,-1,-1
6,1,1359.60,415.54,170.59,379.59,1,-1,-1,-1
6,2,588.95,447.26,83.20,262.07,1,-1,-1,-1
6,3,1435.75,423.16,185.01,352.41,1,-1,-1,-1
6,4,457.66,444.95,100.79,274.68,1,-1,-1,-1
7,1,1366.38,413.76,170.45,380.79,1,-1,-1,-1
7,2,589.56,447.28,83.30,262.42,1,-1,-1,-1
7,3,1438.39,421.59,186.80,355.83,1,-1,-1,-1
7,4,457.37,448.26,100.48,272.44,1,-1,-1,-1
8,1,1376.25,411.89,169.80,383.16,1,-1,-1,-1
8,2,588.78,446.69,83.61,263.17,1,-1,-1,-1
8,4,457.70,447.87,101.41,273.03,1,-1,-1,-1
9,1,1385.09,410.98,169.03,387.75,1,-1,-1,-1
9,2,587.80,446.27,83.87,263.88,1,-1,-1,-1
9,4,457.07,447.74,102.29,272.61,1,-1,-1,-1
10,1,1395.91,414.14,164.49,385.52,1,-1,-1,-1
10,2,587.45,445.91,84.10,264.51,1,-1,-1,-1
10,4,456.71,444.88,104.62,276.09,1,-1,-1,-1
11,1,1406.91,410.52,162.68,389.49,1,-1,-1,-1
11,2,587.66,446.17,84.04,264.32,1,-1,-1,-1
11,4,456.69,445.82,105.69,275.87,1,-1,-1,-1
12,1,1412.99,409.36,163.77,392.08,1,-1,-1,-1
12,2,588.09,445.54,84.26,264.80,1,-1,-1,-1
12,4,457.11,447.12,106.61,275.56,1,-1,-1,-1
13,2,587.97,444.48,84.56,265.69,1,-1,-1,-1
13,4,455.59,449.63,106.92,274.07,1,-1,-1,-1
14,2,587.75,445.46,84.52,264.97,1,-1,-1,-1
14,4,454.25,447.22,108.97,277.48,1,-1,-1,-1
15,2,587.29,444.28,84.70,265.38,1,-1,-1,-1
15,4,453.83,446.88,109.61,278.47,1,-1,-1,-1
